epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.5978,1.91984,7.28057,2.36413,0,0,0,0,2.13766,4.93364,2.59958,0.0706977,0.00325581,0.00325581
2,17.1045,2.12057,3.05513,2.16226,0.00028,0.125,0.00016,5e-05,2.2159,281348,18.0504,0.0406759,0.0065674,0.0065674
3,24.6118,2.00604,3.17428,2.09673,0.00016,0.16667,9e-05,3e-05,3.11864,99553.3,153.357,0.0106322,0.00985699,0.00985699
4,32.3109,2.4441,3.23372,2.81674,0.00016,0.125,0.0001,3e-05,3.10324,371032,8.66734,0.009901,0.009901,0.009901
5,39.9097,2.27486,3.31046,2.61971,0.00082,0.08333,0.00692,0.00201,3.0285,1043.92,8.81259,0.009868,0.009868,0.009868
6,47.3504,1.612,2.74995,1.89744,0.09245,0.29167,0.08931,0.02262,1.96924,3.06839,3.55695,0.009835,0.009835,0.009835
7,54.8434,1.7801,3.04533,2.20651,0.06868,0.29167,0.05062,0.0152,1.78863,92.1957,3.05785,0.009802,0.009802,0.009802
8,62.3437,1.73725,2.64744,2.17094,0.0434,0.29167,0.03432,0.01004,1.64765,108.068,2.34522,0.009769,0.009769,0.009769
9,69.9813,2.23173,3.18121,2.55747,0.04597,0.20833,0.03288,0.00968,1.61254,94.9777,2.25048,0.009736,0.009736,0.009736
10,77.6045,2.02945,2.85976,2.24838,0.05187,0.29167,0.03455,0.01141,1.65634,89.4652,2.29061,0.009703,0.009703,0.009703
11,85.1064,1.73912,2.60121,1.99402,0.03967,0.04167,0.04097,0.01679,1.57807,3.55322,2.0548,0.00967,0.00967,0.00967
12,92.6305,2.00744,3.17402,2.44725,0.01054,0.66667,0.01887,0.00742,1.72306,3.1261,2.19559,0.009637,0.009637,0.009637
13,100.075,1.70998,2.70052,2.03698,0.03636,0.58333,0.05356,0.01933,1.56708,4.23858,2.19785,0.009604,0.009604,0.009604
14,107.603,1.89303,2.90116,2.50633,0.08599,0.125,0.03716,0.01591,1.46043,26.3983,2.12124,0.009571,0.009571,0.009571
15,115.119,1.81488,2.84076,2.31614,0.11189,0.20833,0.05727,0.02335,1.61502,5.04638,2.24587,0.009538,0.009538,0.009538
16,122.598,1.8351,2.97387,2.36007,0.00392,1,0.16461,0.06106,1.51333,3.86966,2.17409,0.009505,0.009505,0.009505
17,130.07,1.63011,2.76006,2.09526,0.20238,0.0847,0.12514,0.05244,1.53463,4.23575,2.11062,0.009472,0.009472,0.009472
