epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6458,2.03772,6.7599,2.47252,0,0,0,0,2.14896,5.01319,2.59353,0.0706977,0.00325581,0.00325581
2,27.5698,2.21147,3.94981,2.27552,0,0,0,0,1.89525,7.49169,2.44525,0.0406759,0.0065674,0.0065674
3,40.7086,2.04429,2.95255,2.18248,0,0,0,0,2.5054,20.9803,49.7134,0.0106322,0.00985699,0.00985699
4,54.0442,2.21049,3.0112,2.67403,0.00025,0.20833,0.00013,4e-05,3.11558,140716,129.825,0.009901,0.009901,0.009901
5,67.3304,2.15011,3.30897,2.52716,0.17675,0.08333,0.03321,0.01031,2.38385,12.2456,18.5174,0.009868,0.009868,0.009868
6,80.5733,1.78265,3.04605,1.96834,0.01113,0.04167,0.00625,0.00165,2.4102,7.98615,7.04636,0.009835,0.009835,0.009835
7,93.8263,1.7952,2.84415,2.2286,0.04709,0.125,0.01589,0.00593,2.21924,80.9025,4.95863,0.009802,0.009802,0.009802
8,106.945,1.81187,2.56292,2.16591,0.21448,0.29167,0.12769,0.04318,1.69145,3.21508,2.21612,0.009769,0.009769,0.009769
9,120.266,2.33341,3.04412,2.67031,0.21835,0.20833,0.0927,0.03217,1.5927,10.1703,2.16877,0.009736,0.009736,0.009736
10,133.53,2.1385,2.65717,2.30778,0.01491,0.04167,0.00403,0.00116,1.65637,108.505,2.19517,0.009703,0.009703,0.009703
11,146.654,1.9029,2.57955,2.02446,0.03763,0.29167,0.02945,0.012,1.64799,53.6819,2.18685,0.00967,0.00967,0.00967
12,159.866,2.01117,2.96695,2.48868,0.14007,0.125,0.05468,0.02257,1.65018,6.65316,2.20993,0.009637,0.009637,0.009637
13,173.097,1.68753,2.52622,1.98657,0.05457,0.08333,0.02764,0.01017,1.53921,17.8839,2.18563,0.009604,0.009604,0.009604
14,186.32,1.92953,2.81411,2.44339,0.08616,0.08333,0.08023,0.03033,1.59739,14.0666,2.20809,0.009571,0.009571,0.009571
15,199.542,1.91295,2.64161,2.31949,0.13788,0.29167,0.09715,0.03682,1.65207,5.26971,2.17685,0.009538,0.009538,0.009538
16,212.823,1.83721,2.69833,2.2873,0.01265,0.95833,0.14484,0.05208,1.57513,2.79923,2.13357,0.009505,0.009505,0.009505
17,226.117,1.725,2.64507,2.0875,0.12289,0.375,0.12792,0.04902,1.53475,5.13249,2.14154,0.009472,0.009472,0.009472
18,239.443,2.14736,2.66161,2.50109,0.27173,0.12443,0.11995,0.0483,1.53465,12.2773,2.11504,0.009439,0.009439,0.009439
19,252.773,1.90862,2.69093,2.31516,0.10033,0.125,0.07321,0.02457,1.58709,118.634,2.11416,0.009406,0.009406,0.009406
20,266.007,1.78234,3.49677,2.16624,0.1351,0.20833,0.06484,0.02531,1.46072,84.8397,2.08378,0.009373,0.009373,0.009373
21,279.21,1.64187,2.6072,1.86684,0.0297,0.04167,0.04103,0.01489,1.4814,4.24574,2.11989,0.00934,0.00934,0.00934
22,292.401,1.84012,2.76963,2.31886,0.03031,0.75,0.07186,0.02261,1.56638,3.18488,2.17613,0.009307,0.009307,0.009307
23,305.628,1.61884,2.77216,2.00543,0.11637,0.375,0.15173,0.05806,1.55413,10.866,2.18833,0.009274,0.009274,0.009274
24,319.057,1.81351,2.67976,2.05513,0.10347,0.08333,0.08245,0.02863,1.51588,4.53056,2.09863,0.009241,0.009241,0.009241
25,332.29,1.76553,2.71336,2.1585,0.03242,0.79167,0.04227,0.01465,1.55196,3.51166,2.07671,0.009208,0.009208,0.009208
26,345.518,1.81028,2.77846,2.16171,0.11963,0.04167,0.06373,0.02307,1.56278,3.34125,2.06134,0.009175,0.009175,0.009175
27,358.805,2.11905,2.72022,2.46103,0.2952,0.08333,0.08253,0.03181,1.60851,3.97136,2.09341,0.009142,0.009142,0.009142
28,372.111,2.26233,2.98684,2.51848,0.39219,0.04167,0.13408,0.04524,1.65044,2.77014,2.11516,0.009109,0.009109,0.009109
29,385.354,1.8545,2.53948,2.27797,0.11085,0.16667,0.10038,0.0339,1.56914,3.59691,2.07652,0.009076,0.009076,0.009076
30,398.618,1.90399,2.64167,2.23719,0.09065,0.375,0.07483,0.02713,1.56561,11.134,2.0572,0.009043,0.009043,0.009043
31,411.886,1.79948,2.5923,2.05089,0.11604,0.20833,0.17473,0.07431,1.72296,2.568,2.15608,0.00901,0.00901,0.00901
32,425.082,1.67393,2.29174,1.96187,0.03818,0.875,0.19058,0.06687,1.88432,2.88764,2.28197,0.008977,0.008977,0.008977
33,438.31,1.70215,2.32179,2.08533,0.26096,0.25,0.25759,0.09258,1.51799,2.70632,2.09525,0.008944,0.008944,0.008944
34,451.584,1.60499,2.05425,1.94361,0.17125,0.33333,0.19527,0.0687,1.58323,5.12842,2.05903,0.008911,0.008911,0.008911
35,464.925,2.03986,2.61157,2.40867,0.01858,0.875,0.06255,0.02101,1.54772,4.81803,2.04217,0.008878,0.008878,0.008878
36,478.127,1.82173,2.49871,2.12168,0.01379,0.70833,0.05549,0.01817,1.60016,2.91259,2.07072,0.008845,0.008845,0.008845
37,491.372,2.01454,2.55844,2.34774,0.11943,0.29167,0.07985,0.02872,1.45695,22.7303,1.97143,0.008812,0.008812,0.008812
38,504.692,1.95558,2.77485,2.25656,0.04242,0.05007,0.05525,0.02272,1.63659,7.39579,2.13576,0.008779,0.008779,0.008779
39,517.926,1.9336,2.66791,2.26694,0.0207,0.79167,0.06108,0.02134,1.80253,3.13469,2.27628,0.008746,0.008746,0.008746
40,531.054,1.48913,2.07186,1.80041,0.02326,0.66667,0.06547,0.02333,1.81195,3.28649,2.307,0.008713,0.008713,0.008713
41,544.17,1.61754,2.19807,1.82764,0.11071,0.29167,0.0999,0.03987,1.75934,3.22562,2.25664,0.00868,0.00868,0.00868
42,557.435,1.86447,2.46383,2.19718,0.17063,0.17163,0.09247,0.03639,1.63929,5.14628,2.1514,0.008647,0.008647,0.008647
43,570.645,1.63994,2.64708,2.11345,0.03687,0.08333,0.03934,0.01298,1.63019,3.95911,2.14572,0.008614,0.008614,0.008614
44,583.902,1.95066,2.6176,2.29872,0.01082,1,0.05518,0.01979,1.57191,2.81311,2.11146,0.008581,0.008581,0.008581
45,597.142,1.61627,2.09474,1.99405,0.09891,0.08333,0.10005,0.03036,1.50439,2.90088,2.04827,0.008548,0.008548,0.008548
46,610.425,1.72536,2.32234,2.04797,0.14947,0.41667,0.14073,0.0445,1.51141,6.47437,2.01098,0.008515,0.008515,0.008515
