epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95868,2.39431,5.42749,2.14312,0.00041,0.33333,0.0004,0.00011,3.344,80.9711,4.07806,0.0706977,0.00325581,0.00325581
2,18.0161,1.93661,3.08155,1.74231,0.00041,0.33333,0.0004,0.00011,3.27694,9.88835,28.161,0.0406759,0.0065674,0.0065674
3,26.6926,1.99526,2.61052,1.77722,0.00064,0.33333,0.00033,7e-05,3.33735,21752.9,52.4337,0.0106322,0.00985699,0.00985699
4,35.3219,2.28714,2.58891,2.16903,8e-05,0.08333,0.00018,0.00011,3.67558,6.15858e+06,314.803,0.009901,0.009901,0.009901
5,43.744,2.2373,2.60244,2.07724,0.00118,0.08333,0.0004,0.00017,3.30617,1162.54,14.5887,0.009868,0.009868,0.009868
6,52.4225,1.64859,2.21054,1.54323,0.0027,0.08333,0.00028,0.0001,3.96475,720.972,18.766,0.009835,0.009835,0.009835
7,60.9157,1.9314,2.47447,1.79933,0.0005,0.25,0.00026,9e-05,3.44137,13265.9,26.1175,0.009802,0.009802,0.009802
8,69.3408,1.87321,2.38159,1.74771,0.08192,0.5503,0.10512,0.04564,1.95685,44.753,2.05739,0.009769,0.009769,0.009769
9,78.1392,2.36711,2.74728,2.08979,0.22163,0.125,0.07808,0.02195,2.24989,5.30558,2.34057,0.009736,0.009736,0.009736
10,86.6789,2.04431,2.53554,1.75511,0.06453,0.29167,0.0548,0.01804,1.93077,108.37,2.04417,0.009703,0.009703,0.009703
11,95.1176,1.83462,2.44804,1.54985,0.31,0.08333,0.09116,0.03296,1.59945,3.50138,1.57271,0.00967,0.00967,0.00967
12,103.671,2.03681,2.84826,2.0007,0.14693,0.08333,0.03018,0.00863,1.92589,13.5387,2.14706,0.009637,0.009637,0.009637
13,112.146,1.699,2.70854,1.6503,0.18638,0.20833,0.08519,0.02825,1.72308,4.71456,1.63075,0.009604,0.009604,0.009604
14,120.685,1.8469,2.48842,1.83303,0.11643,0.16667,0.05615,0.02171,1.51708,31.4584,1.53439,0.009571,0.009571,0.009571
15,129.204,1.74879,2.22632,1.67823,0.02826,0.16667,0.01031,0.00447,1.71137,261.169,1.55219,0.009538,0.009538,0.009538
16,137.657,1.83056,2.44441,1.79674,0.22489,0.375,0.15598,0.06218,1.58018,4.50335,1.50452,0.009505,0.009505,0.009505
17,146.468,1.60566,2.65128,1.50414,0.0673,0.33333,0.07363,0.03081,1.37888,146,1.41507,0.009472,0.009472,0.009472
18,154.97,2.09319,2.77717,1.94148,0.38899,0.125,0.19553,0.07434,1.40717,8.64801,1.43002,0.009439,0.009439,0.009439
