epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60363,2.26811,5.5995,2.05702,0,0,0,0,2.31442,3.87951,2.11555,0.0706977,0.00325581,0.00325581
2,17.5831,1.96799,3.37861,1.69743,0.00012,0.125,0.00018,9e-05,2.70249,475949,233.832,0.0406759,0.0065674,0.0065674
3,25.8716,1.9232,2.86257,1.65429,0.00051,0.33333,0.00032,9e-05,3.32684,44573.7,201.075,0.0106322,0.00985699,0.00985699
4,34.2626,2.32034,2.88679,2.19701,0.00144,0.08333,0.00058,0.00015,3.24499,1827.26,38.0192,0.009901,0.009901,0.009901
5,42.5087,2.54124,2.93038,2.17876,0.0001,0.04167,6e-05,1e-05,3.60706,518.957,24.0634,0.009868,0.009868,0.009868
6,50.4583,1.66235,2.25995,1.48859,0.04117,0.04167,0.00877,0.00357,3.74412,6.69434,16.2677,0.009835,0.009835,0.009835
7,58.7295,1.80961,2.63578,1.72009,0.05598,0.31387,0.10933,0.04547,2.09386,158.873,3.5691,0.009802,0.009802,0.009802
8,67.0569,1.74801,2.46358,1.68816,0.18584,0.20833,0.17804,0.04986,1.82432,3.77238,1.89216,0.009769,0.009769,0.009769
9,75.3675,2.22123,2.6197,2.04701,0.1156,0.41667,0.14857,0.07125,1.87408,4.69765,1.92327,0.009736,0.009736,0.009736
10,83.6964,2.02848,2.40026,1.68081,0.18973,0.375,0.10448,0.03328,1.62038,10.1018,1.74582,0.009703,0.009703,0.009703
11,91.6824,1.70552,2.33301,1.47899,0.25819,0.18912,0.13349,0.06243,1.50362,16.9267,1.59117,0.00967,0.00967,0.00967
12,99.8036,2.01894,2.54103,1.9804,0.22253,0.25,0.1637,0.0663,1.46305,2.90106,1.48253,0.009637,0.009637,0.009637
13,107.814,1.57388,2.08823,1.49713,0.16302,0.20833,0.12162,0.06052,1.40416,6.78119,1.4358,0.009604,0.009604,0.009604
14,115.969,1.75354,2.22998,1.73682,0.03145,0.25,0.0563,0.02404,1.46252,287.123,1.4781,0.009571,0.009571,0.009571
15,123.953,1.71664,2.64644,1.67835,0.20507,0.20833,0.14353,0.05666,1.48437,3.04625,1.4765,0.009538,0.009538,0.009538
16,131.923,1.81131,2.45336,1.79835,0.03142,0.95833,0.18311,0.0771,1.44686,2.27124,1.38237,0.009505,0.009505,0.009505
17,140.239,1.63046,2.23302,1.47883,0.20059,0.16667,0.16293,0.05758,1.36593,11.9374,1.34196,0.009472,0.009472,0.009472
18,148.316,1.96578,2.3249,1.88837,0.27091,0.41805,0.22778,0.08516,1.34317,4.62508,1.38134,0.009439,0.009439,0.009439
19,156.736,1.76428,2.14804,1.61658,0.43842,0.25,0.23263,0.08211,1.39,13.6184,1.35403,0.009406,0.009406,0.009406
20,164.79,1.58484,2.34345,1.5396,0.24505,0.375,0.20461,0.07628,1.46137,2.77353,1.40625,0.009373,0.009373,0.009373
21,172.758,1.36835,2.04813,1.23483,0.0217,0.95833,0.21688,0.0726,1.52136,2.36312,1.44747,0.00934,0.00934,0.00934
22,180.797,1.74969,1.99795,1.68191,0.19374,0.16667,0.13723,0.05786,1.47861,7.4161,1.3844,0.009307,0.009307,0.009307
23,188.839,1.54561,3.42321,1.45943,0.20696,0.20833,0.11303,0.04622,1.45369,10.4251,1.38492,0.009274,0.009274,0.009274
