epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91736,2.34627,5.43555,2.11245,0,0,0,0,2.33025,118.872,2.1162,0.0706977,0.00325581,0.00325581
2,18.2832,1.95695,4.80167,1.72764,8e-05,0.08333,5e-05,1e-05,4.06508,6.52633e+09,230934,0.0406759,0.0065674,0.0065674
3,27.1431,1.8745,2.81481,1.61409,8e-05,0.08333,5e-05,1e-05,3.76875,1.38838e+09,41050.9,0.0106322,0.00985699,0.00985699
4,35.9582,2.3034,3.00613,2.11063,8e-05,0.08333,0.00018,2e-05,4.21564,8.42604e+06,110.565,0.009901,0.009901,0.009901
5,44.7584,2.31317,2.75764,2.10143,0.00019,0.20833,0.00029,5e-05,3.01281,1.0911e+06,7.65841,0.009868,0.009868,0.009868
6,53.6984,1.69315,5.02775,1.51026,0.00058,0.125,0.00099,0.00035,2.97507,39447,8.82515,0.009835,0.009835,0.009835
7,62.6549,1.85233,2.30837,1.76185,0.00196,0.58333,0.00144,0.00054,2.10138,14256.6,4.14294,0.009802,0.009802,0.009802
8,71.3858,1.7085,2.24995,1.63129,0.00185,0.66667,0.00154,0.00056,1.84697,77718.8,1.8509,0.009769,0.009769,0.009769
9,80.2029,2.28708,2.74951,2.06318,0.00841,0.58333,0.0073,0.00289,1.5611,2567.73,1.57284,0.009736,0.009736,0.009736
10,88.8799,2.23156,2.84445,1.79909,0.00533,0.66667,0.00468,0.00196,1.53811,3581.83,1.51941,0.009703,0.009703,0.009703
11,97.1249,1.95018,2.44209,1.57602,0.01347,0.5,0.01244,0.00559,1.48243,738.102,1.53097,0.00967,0.00967,0.00967
12,105.913,2.07916,2.80452,1.98655,0.02797,0.45833,0.02343,0.01027,1.81165,686.035,1.72255,0.009637,0.009637,0.009637
13,114.542,1.76473,2.68568,1.60998,0.02583,0.29167,0.01932,0.00738,1.94383,165.609,1.81993,0.009604,0.009604,0.009604
14,122.93,1.90569,2.69937,1.85671,0.00806,0.41667,0.0044,0.00147,1.9114,597.111,1.73059,0.009571,0.009571,0.009571
15,131.265,1.84646,2.52692,1.69218,0.12622,0.54167,0.15025,0.06004,1.7211,24.3954,1.53313,0.009538,0.009538,0.009538
16,139.869,1.87485,2.88236,1.76604,0.25283,0.33333,0.19849,0.07196,1.64221,4.33315,1.52416,0.009505,0.009505,0.009505
17,148.526,1.7138,2.39908,1.54282,0.272,0.16667,0.17666,0.06356,1.49814,3.22425,1.44903,0.009472,0.009472,0.009472
18,156.927,2.11615,2.51544,1.95597,0.10364,0.08333,0.13441,0.0446,1.61806,2.40198,1.49359,0.009439,0.009439,0.009439
19,165.272,1.86387,3.10008,1.66023,0.20011,0.25,0.14057,0.05715,1.45416,2.69916,1.43453,0.009406,0.009406,0.009406
20,173.618,1.61989,3.3296,1.58558,0.20635,0.29167,0.24778,0.09438,1.46748,2.46283,1.46688,0.009373,0.009373,0.009373
21,182.208,1.40478,2.03564,1.2599,0.16019,0.125,0.12163,0.0423,1.55623,5.90794,1.48951,0.00934,0.00934,0.00934
22,190.574,1.79311,2.15163,1.7362,0.22096,0.16667,0.21896,0.06734,1.60546,2.38856,1.49141,0.009307,0.009307,0.009307
23,198.901,1.63866,2.6115,1.50241,0.23908,0.20833,0.21946,0.09123,1.53318,2.36653,1.49309,0.009274,0.009274,0.009274
24,207.301,1.92002,2.467,1.66972,0.13256,0.15316,0.07845,0.03021,1.49503,6.79556,1.49787,0.009241,0.009241,0.009241
25,215.723,1.70315,2.53705,1.60097,0.10831,0.125,0.08005,0.03071,1.47418,4.37383,1.48519,0.009208,0.009208,0.009208
26,224.071,1.65969,2.35187,1.54973,0.32942,0.125,0.16309,0.05715,1.37877,10.126,1.42793,0.009175,0.009175,0.009175
27,232.255,2.04461,2.4647,1.85472,0.17902,0.16667,0.19271,0.06688,1.48589,3.26847,1.47012,0.009142,0.009142,0.009142
28,240.663,2.10943,2.7812,1.79642,0.11851,0.16667,0.07818,0.03226,1.46955,4.09534,1.51691,0.009109,0.009109,0.009109
29,249.119,1.74653,2.51793,1.65942,0.15606,0.16667,0.08099,0.03415,1.4793,9.02358,1.46331,0.009076,0.009076,0.009076
30,257.51,1.87009,2.5362,1.66026,0.18267,0.25,0.13983,0.06774,1.49988,2.31006,1.41002,0.009043,0.009043,0.009043
31,265.873,1.71264,2.31094,1.39327,0.17508,0.16667,0.16832,0.06734,1.38388,5.24995,1.35884,0.00901,0.00901,0.00901
