epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5473,2.39585,5.33001,2.14727,0,0,0,0,2.56129,4.3199,2.32305,0.0706977,0.00325581,0.00325581
2,33.752,2.24378,2.74523,1.8701,0.00062,0.04167,0.00139,0.00026,3.99613,1794.17,36.6529,0.0406759,0.0065674,0.0065674
3,49.2653,1.96215,2.58126,1.78866,0.00062,0.04167,0.00139,0.00026,3.14402,16.8456,22.0838,0.0106322,0.00985699,0.00985699
4,65.1683,2.25226,2.60621,2.18222,0.00649,0.45833,0.00465,0.00163,2.23272,1623.26,3.98906,0.009901,0.009901,0.009901
5,80.6761,2.3372,2.73693,2.16487,0.00069,0.20833,0.00023,5e-05,3.65581,25340.4,15.9778,0.009868,0.009868,0.009868
6,95.798,1.63251,2.30694,1.48224,0.00703,0.04167,0.00183,0.00041,3.21822,354.262,4.92403,0.009835,0.009835,0.009835
7,111.026,1.78719,2.46584,1.71855,0.1,0.04167,0.02574,0.0093,1.90149,1063.79,2.75482,0.009802,0.009802,0.009802
8,126.551,1.70349,2.26,1.67822,0.27283,0.33333,0.21207,0.06351,1.73978,4.11149,1.77288,0.009769,0.009769,0.009769
9,142.868,2.30713,2.65576,2.0523,0.11509,0.29167,0.12427,0.03925,1.72424,72.9329,1.62763,0.009736,0.009736,0.009736
10,158.398,2.05859,2.39161,1.73006,0.26634,0.29167,0.17914,0.0732,1.54689,9.05471,1.5775,0.009703,0.009703,0.009703
11,173.957,1.86699,2.31626,1.53795,0.11346,0.66656,0.13823,0.04469,1.66389,48.3171,1.59229,0.00967,0.00967,0.00967
12,189.681,2.0448,2.4887,1.97188,0.12804,0.29167,0.13807,0.04972,1.60248,2.74734,1.5376,0.009637,0.009637,0.009637
13,204.386,1.65395,2.20268,1.51435,0.05313,0.125,0.03059,0.01241,1.7564,21.6111,1.59003,0.009604,0.009604,0.009604
14,219.715,1.83199,2.14927,1.78045,0.12149,0.25,0.12333,0.05502,1.5145,2.6278,1.43585,0.009571,0.009571,0.009571
15,234.705,1.83403,2.10209,1.74323,0.2116,0.375,0.21133,0.08917,1.46899,2.49686,1.38883,0.009538,0.009538,0.009538
16,250.299,1.82206,2.23154,1.7488,0.32774,0.125,0.13196,0.05869,1.50133,3.36517,1.45634,0.009505,0.009505,0.009505
17,265.122,1.58855,2.17638,1.49688,0.46698,0.16667,0.16227,0.06636,1.51234,3.25336,1.4587,0.009472,0.009472,0.009472
18,280.442,2.14032,2.31464,1.94826,0.28107,0.16667,0.14829,0.07048,1.46722,4.89227,1.43374,0.009439,0.009439,0.009439
19,296.248,1.80091,2.39274,1.66122,0.26606,0.20833,0.19037,0.05259,1.49406,9.38052,1.43004,0.009406,0.009406,0.009406
20,311.562,1.59418,2.53277,1.59702,0.00215,0.91667,0.18843,0.07015,1.41509,3.00025,1.39273,0.009373,0.009373,0.009373
21,326.679,1.39469,2.02218,1.2343,0.34777,0.20833,0.20985,0.08125,1.43237,4.31111,1.39467,0.00934,0.00934,0.00934
22,342.101,1.79787,2.05044,1.69347,0.18424,0.16667,0.14815,0.05615,1.42192,18.5579,1.41496,0.009307,0.009307,0.009307
23,357.743,1.57787,2.34242,1.44177,0.26871,0.20833,0.24041,0.09721,1.46261,3.60431,1.41391,0.009274,0.009274,0.009274
24,373.61,1.94795,2.36055,1.67307,0.19141,0.16667,0.13525,0.05772,1.45095,5.44598,1.41155,0.009241,0.009241,0.009241
