epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71096,2.2703,6.86402,2.11839,0,0,0,0,2.4132,4.25958,2.15188,0.0706977,0.00325581,0.00325581
2,17.5277,1.98018,2.4537,1.67456,0,0,0,0,1.65001,6336.64,7.21676,0.0406759,0.0065674,0.0065674
3,25.8661,1.77628,2.4901,1.57067,0,0,0,0,0.00189,40.6882,0.00992,0.0106322,0.00985699,0.00985699
4,34.2921,2.36964,2.52142,2.1708,0.16667,0.04167,0.09131,0.03717,2.19978,2817.53,7.06345,0.009901,0.009901,0.009901
5,42.7253,2.27496,2.64765,2.03522,0.10203,0.33333,0.0926,0.03123,2.05381,67.6656,2.5405,0.009868,0.009868,0.009868
6,50.8182,1.69652,2.0754,1.50224,0.07633,0.25,0.03862,0.0131,2.0435,10.3911,3.08577,0.009835,0.009835,0.009835
7,58.9066,1.74941,2.69601,1.73846,0.06767,0.375,0.09917,0.03742,1.80418,112.232,2.10151,0.009802,0.009802,0.009802
8,67.2789,1.73044,2.54767,1.66137,0.208,0.20833,0.09837,0.03945,1.60311,11.4663,1.67017,0.009769,0.009769,0.009769
9,75.6743,2.17844,2.65539,2.02496,0.15869,0.20833,0.09885,0.04036,1.66573,18.8023,1.64946,0.009736,0.009736,0.009736
10,84.1199,2.09234,2.32383,1.72447,0.18451,0.38669,0.15044,0.06264,1.5491,18.611,1.5365,0.009703,0.009703,0.009703
11,92.5326,1.78835,2.23392,1.49136,0.1238,0.375,0.11524,0.04609,1.62752,43.0317,1.58126,0.00967,0.00967,0.00967
12,100.703,2.03734,2.51391,1.96522,0.14694,0.33333,0.13669,0.04921,1.71018,12.9675,1.64057,0.009637,0.009637,0.009637
13,108.804,1.67006,2.35135,1.53796,0.09748,0.20833,0.07088,0.02701,1.72167,81.7356,1.62335,0.009604,0.009604,0.009604
14,116.954,1.78011,2.31941,1.77134,0.16375,0.25,0.14826,0.06663,1.49484,7.16433,1.50314,0.009571,0.009571,0.009571
15,125.482,1.77762,2.12299,1.65041,0.17001,0.45833,0.17435,0.07353,1.53688,3.60911,1.4715,0.009538,0.009538,0.009538
16,133.885,1.86573,2.26307,1.77287,0.19511,0.33333,0.20979,0.08916,1.60324,2.22665,1.4796,0.009505,0.009505,0.009505
17,142.278,1.63127,2.0444,1.49719,0.2711,0.16667,0.17322,0.07012,1.40409,3.90519,1.43215,0.009472,0.009472,0.009472
18,150.485,2.03217,2.27676,1.89829,0.2411,0.33333,0.26129,0.10455,1.47703,3.29281,1.43611,0.009439,0.009439,0.009439
19,158.985,1.74569,2.11754,1.63003,0.22599,0.33333,0.22678,0.07792,1.45606,3.06148,1.4071,0.009406,0.009406,0.009406
20,167.143,1.51712,2.04668,1.53451,0.18587,0.16667,0.16115,0.05589,1.483,3.81404,1.43753,0.009373,0.009373,0.009373
21,175.239,1.44571,1.98038,1.26995,0.17106,0.20833,0.21761,0.0987,1.44276,2.56309,1.3779,0.00934,0.00934,0.00934
22,183.492,1.70724,1.9384,1.64689,0.37825,0.20833,0.19108,0.08627,1.38116,10.6439,1.38416,0.009307,0.009307,0.009307
23,191.757,1.52046,2.64926,1.43576,0.4985,0.16667,0.24072,0.10356,1.45149,3.20484,1.39724,0.009274,0.009274,0.009274
24,199.714,1.78778,2.26248,1.60699,0.24116,0.125,0.14664,0.05647,1.46671,2.65081,1.3966,0.009241,0.009241,0.009241
25,208.18,1.79679,2.28259,1.62009,0.29038,0.33333,0.26527,0.06976,1.51515,3.66933,1.49012,0.009208,0.009208,0.009208
26,216.641,1.77868,2.18219,1.58654,0.15144,0.58333,0.20121,0.06675,1.47526,5.03983,1.42324,0.009175,0.009175,0.009175
27,224.9,1.8884,2.24967,1.7303,0.15555,0.375,0.20961,0.08775,1.43625,3.44702,1.39618,0.009142,0.009142,0.009142
28,233.162,2.11047,2.51971,1.75141,0.38408,0.16667,0.24745,0.12129,1.37878,2.97778,1.3587,0.009109,0.009109,0.009109
29,241.647,1.61782,2.54122,1.51402,0.41497,0.16667,0.24308,0.10042,1.51813,4.38712,1.41458,0.009076,0.009076,0.009076
30,250.067,1.80559,2.51989,1.61337,0.26781,0.16667,0.24095,0.11193,1.50878,2.52869,1.40748,0.009043,0.009043,0.009043
31,258.236,1.61409,2.39582,1.37499,0.285,0.16667,0.197,0.09509,1.49264,2.6433,1.43741,0.00901,0.00901,0.00901
