epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8223,2.24471,6.94932,2.03946,0,0,0,0,0,177976,0,0.0778605,0.0104186,0.0104186
2,19.8303,1.95952,3.16894,1.68204,0,0,0,0,0,0,0,0.0551237,0.0210152,0.0210152
3,30.5417,1.88112,2.85544,1.6084,0.00038,0.04167,0.00021,2e-05,0,40100.4,0,0.0323161,0.0315409,0.0315409
4,41.0151,2.34208,3.47175,2.18518,0.00038,0.04167,0.00021,2e-05,0,2e-05,0,0.031681,0.031681,0.031681
5,53.4467,2.50078,3.4041,2.30889,0.00151,0.08333,0.00163,0.00048,1.78047,840.456,2.09929,0.0315747,0.0315747,0.0315747
6,64.9914,1.7984,3.02253,1.60953,0.07692,0.08333,0.01937,0.00368,2.12238,2825.67,2.17312,0.0314684,0.0314684,0.0314684
7,77.3041,1.94015,2.6025,1.7868,0.23327,0.1649,0.13784,0.05263,2.08898,5.67383,1.91221,0.031362,0.031362,0.031362
8,87.9256,1.90054,2.75621,1.72506,0.13412,0.29167,0.11123,0.05336,1.87217,9.11921,1.7157,0.0312557,0.0312557,0.0312557
9,97.9824,2.33501,2.99331,2.1846,0.18219,0.13975,0.16977,0.0639,1.77555,4.19465,1.65378,0.0311494,0.0311494,0.0311494
10,108.863,2.10256,2.48701,1.7894,0.15942,0.25,0.10223,0.04108,1.68845,2.6422,1.70464,0.0310431,0.0310431,0.0310431
11,118.657,1.91238,2.36686,1.60158,0.29921,0.125,0.13166,0.03887,1.71843,4.28335,1.73215,0.0309367,0.0309367,0.0309367
12,128.936,2.16773,2.57375,2.07548,0.13756,0.29167,0.14365,0.04073,1.67307,2.73871,1.6033,0.0308304,0.0308304,0.0308304
13,139.016,1.68668,2.29343,1.60752,0.12865,0.08333,0.09717,0.03159,1.74853,8.36854,1.68411,0.0307241,0.0307241,0.0307241
14,149.186,1.94561,2.46364,1.89254,0.27393,0.08333,0.07855,0.03555,1.60464,6.9454,1.60035,0.0306178,0.0306178,0.0306178
15,159.034,1.8707,3.20615,1.76478,0.0732,0.33333,0.06954,0.02513,1.55025,33.8069,1.59645,0.0305114,0.0305114,0.0305114
16,169.018,1.82314,2.72811,1.85385,0.00174,0.91667,0.11227,0.05142,1.47226,3.51507,1.53829,0.0304051,0.0304051,0.0304051
17,179.066,1.78671,2.50083,1.61975,0.00092,0.875,0.1064,0.04278,1.56383,4.63618,1.5941,0.0302988,0.0302988,0.0302988
18,190.232,2.18209,2.63343,2.02311,0.00268,0.875,0.14749,0.04967,1.547,2.92861,1.55475,0.0301925,0.0301925,0.0301925
19,201.237,1.90521,2.66196,1.71382,0.07287,0.75,0.13252,0.05726,1.68727,3.10992,1.60051,0.0300861,0.0300861,0.0300861
20,211.357,1.63666,2.49577,1.67083,0.09082,0.16667,0.1195,0.04252,1.8126,2.54845,1.5856,0.0299798,0.0299798,0.0299798
21,221.938,1.40373,2.03004,1.29019,0.00391,0.875,0.1185,0.04519,1.62178,3.28545,1.53119,0.0298735,0.0298735,0.0298735
22,231.985,1.75764,2.14075,1.74951,0.17142,0.33333,0.19224,0.06553,1.5309,4.7647,1.475,0.0297672,0.0297672,0.0297672
23,244.564,1.63035,2.61439,1.50248,0.18656,0.41667,0.2217,0.07409,1.69324,2.72316,1.4971,0.0296608,0.0296608,0.0296608
24,256.109,1.93632,2.36823,1.74633,0.14039,0.25,0.1784,0.06893,1.558,2.74216,1.43428,0.0295545,0.0295545,0.0295545
25,266.296,1.8935,2.13297,1.72139,0.19011,0.41667,0.16667,0.06812,1.44961,3.59209,1.45725,0.0294482,0.0294482,0.0294482
26,276.728,1.73021,2.22261,1.64328,0.13616,0.29167,0.13938,0.04866,1.56726,24.8353,1.45054,0.0293419,0.0293419,0.0293419
27,287.321,1.92333,2.57874,1.81719,0.15771,0.45833,0.14848,0.05487,1.70566,5.89846,1.48806,0.0292355,0.0292355,0.0292355
28,300.9,2.09265,2.5807,1.81539,0.21704,0.45833,0.21043,0.08353,1.50205,3.26034,1.4122,0.0291292,0.0291292,0.0291292
29,312.862,1.71247,2.26189,1.60881,0.09612,0.16667,0.14763,0.07182,1.47365,5.1926,1.45557,0.0290229,0.0290229,0.0290229
30,322.913,1.8387,2.44911,1.68901,0.18173,0.16667,0.20401,0.09892,1.40058,2.88782,1.3989,0.0289166,0.0289166,0.0289166
31,333.935,1.6707,2.34318,1.39828,0.21307,0.41667,0.1547,0.05547,1.59283,2.38955,1.47098,0.0288102,0.0288102,0.0288102
32,343.958,1.5494,2.05775,1.43711,0.2691,0.16667,0.15992,0.05112,1.52204,2.87415,1.41245,0.0287039,0.0287039,0.0287039
33,354.073,1.63901,2.13289,1.48448,0.21658,0.25,0.19909,0.08686,1.39353,3.38685,1.3496,0.0285976,0.0285976,0.0285976
34,364.331,1.56264,1.7963,1.52674,0.32758,0.125,0.1316,0.04828,1.55181,16.3043,1.41063,0.0284913,0.0284913,0.0284913
35,374.581,1.89868,2.45109,1.76989,0.17456,0.16667,0.13012,0.05122,1.48231,6.33968,1.38926,0.0283849,0.0283849,0.0283849
36,384.881,1.70439,2.3808,1.5307,0.06081,0.79167,0.19394,0.06201,1.58596,3.01147,1.46436,0.0282786,0.0282786,0.0282786
37,395.591,1.87374,2.35554,1.73838,0.16978,0.125,0.0724,0.02857,1.52449,32.2214,1.46356,0.0281723,0.0281723,0.0281723
38,405.81,1.72994,2.42579,1.62304,0.00808,0.95833,0.14723,0.06553,1.4305,2.53133,1.39933,0.028066,0.028066,0.028066
