epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6818,2.22284,6.16405,2.05159,0.00226,0.25,0.0015,0.0004,3.04777,9242.48,3.03566,0.0706977,0.00325581,0.00325581
2,25.7504,1.85364,3.36219,1.64445,0.00026,0.04167,0.00014,1e-05,0,95426.3,0,0.0406759,0.0065674,0.0065674
3,38.0682,1.86655,2.80341,1.73088,0.00026,0.04167,0.00014,1e-05,0.05725,69890.8,15.5183,0.0106322,0.00985699,0.00985699
4,50.5511,2.26407,2.84317,2.11992,0.00026,0.04167,0.00014,1e-05,2.358,12400.6,20.6065,0.009901,0.009901,0.009901
5,62.9711,2.22198,2.68057,2.04149,0.00365,0.04167,0.00105,0.00027,3.60075,11192.2,9.40167,0.009868,0.009868,0.009868
6,75.3326,1.58827,2.87595,1.49312,0.06667,0.04167,0.01167,0.00253,3.50341,5181.99,5.87033,0.009835,0.009835,0.009835
7,88.1786,1.68221,2.21997,1.63715,0.14691,0.41667,0.13533,0.04572,2.06187,8.68011,1.96427,0.009802,0.009802,0.009802
8,101.212,1.68627,2.10281,1.58421,0.14997,0.20833,0.1422,0.03715,1.657,10.6619,1.67911,0.009769,0.009769,0.009769
9,114.071,2.29902,2.67195,2.05883,0.11152,0.625,0.14601,0.04436,1.6016,22.6838,1.53975,0.009736,0.009736,0.009736
10,126.45,1.92021,2.44383,1.72186,0.14088,0.5,0.12771,0.05051,1.55862,41.3438,1.55866,0.009703,0.009703,0.009703
11,139.371,1.7847,2.36553,1.51728,0.21742,0.56739,0.17288,0.06882,1.45537,4.86547,1.4979,0.00967,0.00967,0.00967
12,152.386,2.02609,2.77646,2.02008,0.10565,0.25,0.1049,0.03693,1.51422,3.81718,1.50038,0.009637,0.009637,0.009637
13,164.766,1.60201,2.38483,1.58321,0.04275,0.125,0.03263,0.01325,1.53507,189.785,1.53874,0.009604,0.009604,0.009604
14,177.882,1.76654,2.18654,1.76151,0.15697,0.29167,0.14193,0.0469,1.58207,9.75289,1.56441,0.009571,0.009571,0.009571
15,190.781,1.82816,2.18534,1.67437,0.09778,0.33333,0.08317,0.03004,1.55153,17.0598,1.50839,0.009538,0.009538,0.009538
16,203.661,1.84164,2.32266,1.76879,0.14522,0.20833,0.1936,0.0799,1.43478,3.36525,1.40427,0.009505,0.009505,0.009505
17,216.675,1.58411,2.09089,1.50024,0.18468,0.33333,0.16898,0.07055,1.51512,2.88228,1.45533,0.009472,0.009472,0.009472
18,229.235,2.04014,2.25393,1.95351,0.0048,0.16667,0.01127,0.00374,2.00315,5.1508,1.88835,0.009439,0.009439,0.009439
19,241.894,1.79746,2.29496,1.6468,0.14576,0.125,0.07136,0.02729,1.53447,49.8699,1.40087,0.009406,0.009406,0.009406
20,254.26,1.6174,2.46782,1.56318,0.00213,0.91667,0.18223,0.06527,1.49454,3.00869,1.38839,0.009373,0.009373,0.009373
21,266.782,1.41321,2.14026,1.25341,0.17091,0.375,0.11492,0.03595,1.53604,6.4378,1.47099,0.00934,0.00934,0.00934
22,279.303,1.82016,2.29389,1.76565,0.14915,0.375,0.15253,0.04653,1.57111,3.61883,1.55463,0.009307,0.009307,0.009307
23,291.874,1.60734,3.18607,1.54264,0.17721,0.29167,0.15123,0.04706,1.6773,3.36314,1.6241,0.009274,0.009274,0.009274
24,304.317,1.87759,2.39828,1.66137,0.15878,0.16667,0.09074,0.04082,1.42775,7.76967,1.39598,0.009241,0.009241,0.009241
25,317.095,1.77667,2.40555,1.60746,0.12749,0.16667,0.09281,0.04255,1.43616,3.92068,1.39545,0.009208,0.009208,0.009208
26,329.616,1.70227,2.2643,1.57768,0.2052,0.16667,0.12313,0.04976,1.46468,8.15077,1.40318,0.009175,0.009175,0.009175
27,342.243,2.00508,2.46167,1.83832,0.19554,0.16667,0.14305,0.0592,1.38845,3.07493,1.41541,0.009142,0.009142,0.009142
28,354.828,2.18656,2.69818,1.83613,0.19574,0.5,0.15418,0.04259,1.79317,2.68559,1.60312,0.009109,0.009109,0.009109
29,367.391,1.62295,2.38748,1.56509,0.26111,0.20833,0.23243,0.1066,1.41857,3.15511,1.44556,0.009076,0.009076,0.009076
30,380.361,1.72042,2.44274,1.61174,0.19774,0.16667,0.13216,0.05137,1.40977,4.75541,1.39197,0.009043,0.009043,0.009043
31,393.074,1.61441,2.36677,1.35263,0.53695,0.16667,0.25652,0.10433,1.39039,2.49055,1.36888,0.00901,0.00901,0.00901
32,406.008,1.46224,2.14148,1.32361,0.25535,0.21457,0.22917,0.0891,1.57956,2.4048,1.44217,0.008977,0.008977,0.008977
33,418.51,1.5906,2.2314,1.41322,0.38566,0.16667,0.20997,0.09309,1.52121,4.38605,1.39605,0.008944,0.008944,0.008944
34,430.96,1.5207,1.85314,1.51756,0.15046,0.28061,0.14973,0.06702,1.44259,3.74014,1.39118,0.008911,0.008911,0.008911
35,443.58,1.79786,2.55378,1.70573,0.12377,0.125,0.07021,0.0285,1.46998,10.901,1.39944,0.008878,0.008878,0.008878
36,456.138,1.62089,2.43643,1.45061,0.14468,0.20833,0.16181,0.07375,1.48673,3.2326,1.39637,0.008845,0.008845,0.008845
37,468.646,1.82229,2.29832,1.61416,0.20322,0.16667,0.20597,0.07349,1.45707,4.48199,1.37521,0.008812,0.008812,0.008812
38,481.144,1.70723,2.28794,1.50651,0.19069,0.125,0.11345,0.04802,1.41217,3.83462,1.33648,0.008779,0.008779,0.008779
39,493.636,1.84415,2.30824,1.62903,0.26773,0.16667,0.13471,0.05456,1.54667,2.87421,1.45609,0.008746,0.008746,0.008746
40,506.136,1.39382,2.13147,1.25679,0.15668,0.25,0.14026,0.05852,1.36413,9.27861,1.34841,0.008713,0.008713,0.008713
41,518.626,1.43191,1.97639,1.29217,0.218,0.125,0.0733,0.0287,1.42907,46.3235,1.34978,0.00868,0.00868,0.00868
42,531.648,1.53018,2.23922,1.46215,0.18013,0.16667,0.13178,0.056,1.49995,10.3026,1.40671,0.008647,0.008647,0.008647
43,544.222,1.50679,2.27404,1.44843,0.20608,0.16667,0.17656,0.06177,1.66361,2.37982,1.49376,0.008614,0.008614,0.008614
44,556.774,1.78682,2.3134,1.51928,0.17686,0.20833,0.1944,0.06822,1.57373,2.20694,1.42871,0.008581,0.008581,0.008581
45,569.332,1.43064,2.00495,1.39769,0.18977,0.16667,0.18596,0.06793,1.4411,2.69335,1.35095,0.008548,0.008548,0.008548
46,581.904,1.49529,2.1599,1.3883,0.17029,0.125,0.1036,0.04792,1.33989,4.95639,1.28142,0.008515,0.008515,0.008515
47,594.639,1.60343,2.1664,1.51585,0.16041,0.16667,0.13452,0.05246,1.37057,5.78181,1.32878,0.008482,0.008482,0.008482
48,607.117,1.43618,1.94586,1.41891,0.14461,0.16667,0.17282,0.07272,1.46534,2.54152,1.36975,0.008449,0.008449,0.008449
49,619.628,1.44723,2.02609,1.34015,0.10655,0.25,0.14914,0.0543,1.4565,2.7067,1.40051,0.008416,0.008416,0.008416
50,632.107,1.52801,2.19826,1.48112,0.15286,0.375,0.18166,0.07631,1.38066,8.26607,1.3356,0.008383,0.008383,0.008383
