epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0163,2.33206,6.71571,2.12172,0,0,0,0,2.47612,4.58841,2.22786,0.0706977,0.00325581,0.00325581
2,51.3932,2.086,2.81913,1.8886,0,0,0,0,0.00216,10036.3,0.09172,0.0406759,0.0065674,0.0065674
3,74.4258,1.91426,2.78645,1.8544,8e-05,0.08333,5e-05,1e-05,3.94502,1.91784e+06,160.81,0.0106322,0.00985699,0.00985699
4,99.9876,2.31089,2.756,2.30154,0.00641,0.25,0.00451,0.00102,2.70567,9707.04,8.66298,0.009901,0.009901,0.009901
5,123.426,2.23506,2.59092,2.15541,0.00641,0.25,0.00451,0.00102,0.00547,8.19392,0.04525,0.009868,0.009868,0.009868
6,148.131,1.71396,2.58721,1.55133,0.00135,0.04167,0.00016,2e-05,3.32756,709.34,12.0801,0.009835,0.009835,0.009835
7,172.22,1.71056,2.30334,1.73037,0.00068,0.16667,0.00056,0.00017,3.28708,4.90039,5.50777,0.009802,0.009802,0.009802
8,196.469,1.69988,2.23318,1.64832,0.104,0.25,0.07333,0.02431,1.6068,27.1528,1.6565,0.009769,0.009769,0.009769
9,221.632,2.21589,2.73491,2.07641,0.1148,0.25,0.08616,0.03069,1.53666,27.6311,1.48996,0.009736,0.009736,0.009736
10,246.732,1.98889,2.14208,1.72186,0.13975,0.25,0.1197,0.03791,1.59053,20.439,1.55404,0.009703,0.009703,0.009703
11,271.756,1.89624,2.38719,1.5693,0.15373,0.13662,0.09469,0.03244,1.55186,4.7323,1.55362,0.00967,0.00967,0.00967
12,296.774,1.99512,2.89899,2.00753,0.24945,0.20833,0.1915,0.06364,1.53393,6.29707,1.48745,0.009637,0.009637,0.009637
13,321.471,1.77084,2.7516,1.58151,0.22695,0.20833,0.12284,0.0445,1.61461,5.20603,1.55434,0.009604,0.009604,0.009604
14,345.781,1.82102,2.59547,1.79654,0.14885,0.125,0.13372,0.04989,1.49794,6.4058,1.49866,0.009571,0.009571,0.009571
15,369.896,1.78454,2.43702,1.6713,0.23965,0.125,0.12664,0.06073,1.39698,8.64003,1.38457,0.009538,0.009538,0.009538
16,392.562,1.76193,2.44203,1.73064,0.09888,0.41667,0.1588,0.06663,1.3865,2.71693,1.3504,0.009505,0.009505,0.009505
17,417.254,1.65376,2.61823,1.45954,0.08704,0.20833,0.06342,0.02516,1.41287,15.9223,1.42652,0.009472,0.009472,0.009472
18,441.702,2.05228,3.26324,1.96062,0.1331,0.125,0.07539,0.02392,1.58421,6.28946,1.56732,0.009439,0.009439,0.009439
19,466.427,1.81256,2.4136,1.69665,0.00975,0.91667,0.19056,0.06349,1.57496,2.41293,1.48263,0.009406,0.009406,0.009406
20,490.531,1.56686,2.13484,1.54415,0.15104,0.16667,0.0996,0.04181,1.43926,4.34541,1.36409,0.009373,0.009373,0.009373
21,513.237,1.41378,2.25053,1.26388,0.05343,0.79167,0.10663,0.04058,1.461,3.15367,1.43989,0.00934,0.00934,0.00934
22,538.22,1.7221,2.19034,1.68825,0.0069,0.875,0.19481,0.08075,1.45184,2.30827,1.40748,0.009307,0.009307,0.009307
23,561.731,1.57111,2.21015,1.4771,0.2124,0.16667,0.24189,0.09792,1.4835,2.70516,1.38659,0.009274,0.009274,0.009274
24,586.62,1.83031,2.31665,1.59883,0.22686,0.375,0.25351,0.09023,1.41575,2.3748,1.35997,0.009241,0.009241,0.009241
25,610.886,1.75634,2.27155,1.59855,0.17599,0.125,0.08564,0.03393,1.42878,6.67532,1.43259,0.009208,0.009208,0.009208
26,635.268,1.68832,2.23437,1.57049,0.15891,0.20833,0.12143,0.05393,1.4766,2.51204,1.45112,0.009175,0.009175,0.009175
27,660.036,1.89672,2.42325,1.73022,0.20195,0.25,0.15608,0.05931,1.49521,2.91351,1.40556,0.009142,0.009142,0.009142
28,683.619,2.0145,2.66359,1.72802,0.12829,0.20833,0.08718,0.03888,1.46154,6.82173,1.39073,0.009109,0.009109,0.009109
29,708.569,1.63533,2.24839,1.54757,0.15677,0.08333,0.1299,0.04929,1.44204,2.73446,1.37011,0.009076,0.009076,0.009076
30,731.313,1.76282,2.44836,1.58826,0.18189,0.20833,0.13455,0.05502,1.43516,3.40961,1.34005,0.009043,0.009043,0.009043
31,755.983,1.66617,2.44909,1.35609,0.0795,0.5,0.16793,0.08257,1.45055,3.19876,1.34814,0.00901,0.00901,0.00901
32,779.747,1.52785,2.22754,1.34881,0.29521,0.16667,0.18978,0.07868,1.42197,2.90136,1.31935,0.008977,0.008977,0.008977
33,803.732,1.59202,2.13129,1.3836,0.24774,0.25,0.24069,0.10793,1.374,2.22596,1.27848,0.008944,0.008944,0.008944
34,828.241,1.45592,1.82291,1.42671,0.22232,0.20833,0.22162,0.11379,1.36347,2.74191,1.29747,0.008911,0.008911,0.008911
35,852.929,1.75531,2.37328,1.68224,0.22641,0.20833,0.16976,0.07425,1.34389,3.70817,1.3086,0.008878,0.008878,0.008878
36,877.283,1.56365,2.40641,1.44186,0.13649,0.66667,0.20428,0.07391,1.46962,2.42841,1.3914,0.008845,0.008845,0.008845
37,900.138,1.84948,2.27254,1.6492,0.19994,0.16667,0.18039,0.06195,1.37927,5.38507,1.32192,0.008812,0.008812,0.008812
38,924.823,1.78688,2.36569,1.56522,0.01798,0.95833,0.18767,0.07259,1.347,2.26435,1.35212,0.008779,0.008779,0.008779
39,948.949,1.80047,2.5796,1.61557,0.27597,0.16667,0.15044,0.05185,1.44389,2.47223,1.37733,0.008746,0.008746,0.008746
40,972.567,1.40951,1.9401,1.27713,0.27782,0.16667,0.15262,0.0507,1.42498,2.49331,1.39275,0.008713,0.008713,0.008713
41,996.527,1.42091,2.00068,1.30085,0.58878,0.125,0.23315,0.08056,1.41245,2.35441,1.37865,0.00868,0.00868,0.00868
42,1020.49,1.65909,2.09645,1.54566,0.4469,0.125,0.16153,0.06075,1.51659,4.95096,1.39567,0.008647,0.008647,0.008647
43,1045.18,1.52221,2.53362,1.4712,0.44134,0.125,0.1292,0.049,1.50495,6.33116,1.38938,0.008614,0.008614,0.008614
44,1069.79,1.78553,2.31162,1.54703,0.62331,0.125,0.20221,0.0923,1.39358,2.42374,1.36094,0.008581,0.008581,0.008581
45,1094.09,1.49577,1.9747,1.46526,0.43929,0.16667,0.23356,0.07783,1.37701,2.26795,1.34141,0.008548,0.008548,0.008548
46,1119.17,1.47315,2.19366,1.43061,0.42439,0.125,0.14442,0.06511,1.2777,6.13748,1.2968,0.008515,0.008515,0.008515
47,1143.04,1.62507,2.28435,1.54921,0.33046,0.125,0.15734,0.07006,1.32068,3.39856,1.28486,0.008482,0.008482,0.008482
48,1167.78,1.45212,1.92257,1.42539,0.21739,0.20833,0.22286,0.0961,1.3431,2.09899,1.27111,0.008449,0.008449,0.008449
49,1190.41,1.48534,2.10735,1.34071,0.21438,0.29167,0.20349,0.08381,1.34473,3.22756,1.26165,0.008416,0.008416,0.008416
50,1215.5,1.70843,2.68337,1.59482,0.19915,0.375,0.20364,0.08487,1.36325,2.9774,1.27412,0.008383,0.008383,0.008383
51,1239.54,1.55219,2.21554,1.37832,0.2251,0.33333,0.19294,0.07913,1.33301,4.46614,1.26393,0.00835,0.00835,0.00835
52,1264.53,1.58498,2.19762,1.35885,0.41943,0.16667,0.24715,0.11929,1.2962,5.12117,1.20255,0.008317,0.008317,0.008317
53,1289.65,1.58867,2.24482,1.50482,0.295,0.20833,0.30539,0.12433,1.26859,2.40716,1.19995,0.008284,0.008284,0.008284
54,1315.85,1.80352,2.21116,1.69434,0.24474,0.20833,0.21214,0.10716,1.29525,4.82761,1.21639,0.008251,0.008251,0.008251
55,1340.29,1.64236,3.26964,1.51119,0.209,0.20833,0.15255,0.08023,1.36476,4.93696,1.2725,0.008218,0.008218,0.008218
56,1364.68,1.2368,2.4352,1.12231,0.2383,0.20833,0.18871,0.08462,1.37406,2.40507,1.29681,0.008185,0.008185,0.008185
57,1389.6,1.4287,1.98741,1.28472,0.00861,0.95833,0.22336,0.09309,1.31864,2.24034,1.27344,0.008152,0.008152,0.008152
58,1413.47,1.58083,2.19001,1.37514,0.04961,0.91667,0.22622,0.09431,1.34426,2.80441,1.27381,0.008119,0.008119,0.008119
59,1438.39,1.55631,2.19126,1.49912,0.40287,0.125,0.2157,0.10253,1.30315,2.23587,1.24713,0.008086,0.008086,0.008086
60,1461.49,1.84083,2.15634,1.76274,0.14193,0.33333,0.21667,0.09729,1.3232,1.97211,1.24896,0.008053,0.008053,0.008053
61,1486.55,1.69116,2.1686,1.48503,0.16313,0.37364,0.25841,0.11898,1.31314,2.54378,1.23985,0.00802,0.00802,0.00802
62,1510.2,1.57321,2.07676,1.38652,0.28301,0.125,0.22235,0.09364,1.39759,2.88899,1.28366,0.007987,0.007987,0.007987
63,1535.18,1.83474,2.46903,1.66727,0.39767,0.16667,0.2546,0.11726,1.24516,2.58439,1.22213,0.007954,0.007954,0.007954
64,1559.48,1.63257,2.26441,1.55936,0.28144,0.125,0.18441,0.08469,1.29242,4.02034,1.23311,0.007921,0.007921,0.007921
65,1584.1,1.64705,2.07387,1.41822,0.27728,0.1447,0.2117,0.0928,1.39129,3.27172,1.30263,0.007888,0.007888,0.007888
66,1609.05,1.80391,2.2612,1.62382,0.20789,0.33333,0.24247,0.09041,1.50906,2.00241,1.34454,0.007855,0.007855,0.007855
67,1632.91,1.43987,2.15225,1.3973,0.27333,0.20833,0.25702,0.10557,1.3513,2.08483,1.22688,0.007822,0.007822,0.007822
68,1657.68,1.54485,1.94282,1.43496,0.16401,0.29167,0.19032,0.08616,1.35775,3.18233,1.22158,0.007789,0.007789,0.007789
69,1680.52,1.54528,2.00594,1.46488,0.18957,0.25,0.18781,0.0905,1.32378,2.72253,1.21893,0.007756,0.007756,0.007756
70,1705.44,1.50809,2.15193,1.25675,0.17581,0.20833,0.23602,0.09747,1.39769,3.18279,1.36816,0.007723,0.007723,0.007723
71,1729.16,1.2929,1.81883,1.25392,0.14417,0.20833,0.20607,0.09305,1.41002,2.54913,1.3203,0.00769,0.00769,0.00769
72,1753.34,1.44401,2.06993,1.27396,0.15635,0.125,0.1725,0.09174,1.30874,2.73964,1.24742,0.007657,0.007657,0.007657
73,1778.08,1.77533,2.25552,1.65675,0.14687,0.25,0.2658,0.13353,1.34654,2.08319,1.27113,0.007624,0.007624,0.007624
74,1802.68,1.5662,2.28265,1.42529,0.12284,0.20833,0.24378,0.12392,1.42503,2.20054,1.28664,0.007591,0.007591,0.007591
75,1827.49,1.57362,2.11928,1.41569,0.19074,0.68759,0.32306,0.15969,1.39758,2.01779,1.26146,0.007558,0.007558,0.007558
76,1852.1,1.59571,2.27766,1.46018,0.16487,0.25,0.2286,0.12572,1.34703,3.61266,1.23663,0.007525,0.007525,0.007525
77,1876.35,1.25496,2.44372,1.07481,0.18273,0.20833,0.24621,0.12273,1.35056,3.33511,1.25554,0.007492,0.007492,0.007492
78,1898.83,1.40239,2.28151,1.33406,0.01158,0.875,0.26916,0.15091,1.35808,2.17221,1.28865,0.007459,0.007459,0.007459
79,1923.42,1.47489,2.1086,1.36637,0.35671,0.125,0.23296,0.11108,1.27619,2.2799,1.22226,0.007426,0.007426,0.007426
80,1947.5,1.43972,2.41619,1.28987,0.28839,0.20833,0.21567,0.08989,1.25226,3.03608,1.21518,0.007393,0.007393,0.007393
81,1971.69,1.37182,2.07565,1.34295,0.13105,0.75,0.26285,0.11773,1.36427,2.12484,1.2863,0.00736,0.00736,0.00736
82,1995.71,1.53304,2.44871,1.4054,0.04988,0.875,0.24903,0.11366,1.41466,2.16496,1.32351,0.007327,0.007327,0.007327
83,2018.49,1.57379,2.17643,1.51544,0.29155,0.16667,0.17687,0.08827,1.37761,2.96652,1.3331,0.007294,0.007294,0.007294
84,2043.17,1.554,2.2583,1.42033,0.25213,0.20833,0.20385,0.08657,1.3705,3.71248,1.31452,0.007261,0.007261,0.007261
85,2067.27,1.2193,2.00467,1.14572,0.31175,0.16667,0.24335,0.1085,1.41706,2.20992,1.32982,0.007228,0.007228,0.007228
86,2090.84,1.35475,1.9876,1.21008,0.48061,0.20833,0.28768,0.12178,1.35718,2.05668,1.26279,0.007195,0.007195,0.007195
87,2115.19,1.43682,1.86715,1.36505,0.96798,0.125,0.2445,0.11576,1.31488,3.25347,1.23784,0.007162,0.007162,0.007162
88,2138.19,1.32447,1.90297,1.24453,0.49996,0.16667,0.27593,0.13105,1.38081,2.81735,1.27547,0.007129,0.007129,0.007129
89,2163.18,1.70572,2.24819,1.52461,0.36065,0.33333,0.31458,0.15469,1.38109,1.91133,1.28001,0.007096,0.007096,0.007096
90,2187.42,1.49094,2.05307,1.41379,0.23805,0.20833,0.258,0.11493,1.36491,2.93095,1.28051,0.007063,0.007063,0.007063
91,2212.61,1.58254,2.10614,1.45593,0.29533,0.20833,0.2484,0.10607,1.32787,2.86793,1.24104,0.00703,0.00703,0.00703
92,2236.8,1.52323,1.9443,1.42376,0.27788,0.24086,0.27856,0.11794,1.37971,2.09366,1.23818,0.006997,0.006997,0.006997
93,2261.57,1.54338,2.09846,1.34578,0.32806,0.20833,0.28058,0.13486,1.29817,2.14151,1.24895,0.006964,0.006964,0.006964
94,2286.16,1.43278,1.75479,1.47943,0.59134,0.16667,0.24543,0.10018,1.3532,2.61197,1.26887,0.006931,0.006931,0.006931
95,2310.32,1.44186,2.1783,1.36054,0.16047,0.33333,0.20362,0.08026,1.36436,2.4287,1.25385,0.006898,0.006898,0.006898
96,2333.75,1.13853,1.71707,1.06681,0.20782,0.29167,0.21881,0.10003,1.33726,2.50495,1.22903,0.006865,0.006865,0.006865
97,2356.91,1.6889,2.32627,1.51742,0.35737,0.16667,0.23212,0.10462,1.34812,3.7803,1.24593,0.006832,0.006832,0.006832
98,2382.09,1.5,2.12038,1.38019,0.29284,0.25,0.24681,0.11918,1.35009,2.32711,1.25253,0.006799,0.006799,0.006799
99,2406.02,1.45096,2.12366,1.30869,0.37227,0.16667,0.2943,0.12696,1.34123,2.07414,1.23775,0.006766,0.006766,0.006766
100,2429.99,1.26541,1.62177,1.14131,0.21479,0.20833,0.21056,0.09977,1.40984,2.45028,1.30581,0.006733,0.006733,0.006733
101,2454.13,1.46179,1.88672,1.30455,0.2036,0.16667,0.17672,0.09882,1.43639,2.57505,1.3113,0.0067,0.0067,0.0067
102,2477.41,1.27761,1.75179,1.10442,0.23883,0.20833,0.24018,0.13008,1.45019,2.37187,1.31256,0.006667,0.006667,0.006667
103,2502.14,1.61346,1.96602,1.53242,0.15165,0.375,0.26794,0.13129,1.30408,2.53907,1.20747,0.006634,0.006634,0.006634
104,2525.07,1.34662,2.10904,1.28844,0.13782,0.375,0.21827,0.11432,1.38296,3.27933,1.25554,0.006601,0.006601,0.006601
105,2549.61,1.64048,1.94053,1.41146,0.26019,0.25,0.29216,0.12663,1.25804,2.28359,1.20792,0.006568,0.006568,0.006568
106,2573.89,1.40518,1.91408,1.27949,0.27499,0.16667,0.23882,0.09192,1.27674,2.81053,1.2402,0.006535,0.006535,0.006535
107,2598.06,1.59592,2.4705,1.47029,0.5805,0.125,0.2231,0.10981,1.31252,2.82009,1.28389,0.006502,0.006502,0.006502
108,2623.04,1.49133,1.98845,1.40074,0.13905,0.58333,0.27127,0.12479,1.34024,2.02626,1.28866,0.006469,0.006469,0.006469
109,2647.01,1.30375,1.86613,1.30066,0.27274,0.16667,0.23409,0.10607,1.34308,2.14252,1.28773,0.006436,0.006436,0.006436
110,2671.62,1.39933,1.98728,1.31855,0.3003,0.16667,0.22106,0.09673,1.34021,2.6784,1.28733,0.006403,0.006403,0.006403
111,2695.63,1.62251,2.08462,1.4227,0.18781,0.25,0.25923,0.12351,1.37314,2.10684,1.30735,0.00637,0.00637,0.00637
112,2720.24,1.66583,2.08306,1.56295,0.21029,0.25,0.29344,0.12686,1.31482,2.39818,1.24605,0.006337,0.006337,0.006337
113,2742.72,1.43446,2.14784,1.27653,0.1887,0.25203,0.28454,0.12869,1.30639,2.04812,1.23205,0.006304,0.006304,0.006304
114,2767,1.41616,1.73492,1.30804,0.18087,0.25,0.27818,0.1276,1.2758,2.04977,1.2256,0.006271,0.006271,0.006271
115,2791.23,1.73921,2.11798,1.62996,1,0.12248,0.2689,0.12752,1.28506,2.91988,1.21852,0.006238,0.006238,0.006238
116,2815.61,1.50836,1.94617,1.37097,0.15831,0.20833,0.25262,0.10524,1.2893,2.16176,1.21356,0.006205,0.006205,0.006205
117,2840.42,1.41518,1.89544,1.33742,0.25791,0.20833,0.22449,0.09117,1.35497,2.14287,1.25312,0.006172,0.006172,0.006172
118,2864.42,1.31391,1.81814,1.18444,0.17246,0.25,0.22445,0.09591,1.37608,2.23961,1.24961,0.006139,0.006139,0.006139
119,2888.98,1.33335,1.84935,1.4077,0.26888,0.23036,0.25959,0.12319,1.36728,2.11733,1.24581,0.006106,0.006106,0.006106
120,2911.41,1.34818,1.90983,1.22936,0.31646,0.29167,0.32663,0.13673,1.37046,2.04625,1.25647,0.006073,0.006073,0.006073
121,2936.02,1.57109,1.86471,1.44572,0.38288,0.20833,0.30022,0.13115,1.33451,2.25267,1.24702,0.00604,0.00604,0.00604
122,2959.91,1.14297,1.73905,1.0072,0.30206,0.25,0.30885,0.12645,1.32789,2.39581,1.25796,0.006007,0.006007,0.006007
123,2984.56,1.67505,1.9887,1.60471,0.28107,0.29167,0.32963,0.129,1.39124,2.15596,1.27812,0.005974,0.005974,0.005974
124,3009.48,1.41587,1.87258,1.31042,0.21861,0.45833,0.32791,0.13138,1.36081,2.45982,1.26246,0.005941,0.005941,0.005941
125,3034.23,1.41196,1.70775,1.41555,0.21261,0.41667,0.35214,0.13778,1.37262,2.107,1.26771,0.005908,0.005908,0.005908
126,3059,1.52764,1.85913,1.403,0.19502,0.29167,0.27696,0.13238,1.45335,2.03581,1.31632,0.005875,0.005875,0.005875
127,3082.84,1.17924,1.56028,1.10685,0.24737,0.30154,0.29495,0.12032,1.44346,2.026,1.31934,0.005842,0.005842,0.005842
128,3106.73,1.06547,1.47221,1.00747,0.2143,0.41667,0.26278,0.12919,1.40574,2.14792,1.30105,0.005809,0.005809,0.005809
129,3129.75,1.15144,1.59848,1.05705,0.37499,0.25,0.30384,0.13625,1.40696,2.29272,1.29642,0.005776,0.005776,0.005776
130,3154.4,1.38763,1.68784,1.33373,0.15791,0.45833,0.27478,0.13494,1.31076,2.82257,1.23995,0.005743,0.005743,0.005743
131,3178.91,1.64249,1.85326,1.48352,0.16028,0.45833,0.27233,0.13893,1.35905,2.81763,1.23822,0.00571,0.00571,0.00571
