epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4024,2.22177,5.3216,2.09593,0.00076,0.29167,0.00241,0.00066,3.68902,11.1732,2.89292,0.0706977,0.00325581,0.00325581
2,25.2864,1.85902,3.18303,1.68425,0.00076,0.29167,0.00241,0.00066,2.04712,857.924,14.3482,0.0406759,0.0065674,0.0065674
3,37.6198,1.85768,2.85644,1.60796,0.00076,0.29167,0.00241,0.00066,0.39309,0.82671,1.92167,0.0106322,0.00985699,0.00985699
4,50.1006,2.25134,2.81099,2.10093,0.08525,0.25,0.05058,0.01117,2.92567,216.355,9.1189,0.009901,0.009901,0.009901
5,62.6069,2.18466,2.553,1.96726,0.09091,0.125,0.03682,0.01067,2.7768,7852.01,5.69983,0.009868,0.009868,0.009868
6,74.6068,1.55322,2.13625,1.42237,0.16134,0.41667,0.09611,0.0309,2.53363,35.3105,5.30903,0.009835,0.009835,0.009835
7,87.0111,1.71334,2.70604,1.67197,0.04846,0.54167,0.06115,0.02272,2.13455,267.424,3.15035,0.009802,0.009802,0.009802
8,99.0127,1.61505,2.47762,1.57427,0.11389,0.125,0.05517,0.02182,2.00373,23.8044,2.15899,0.009769,0.009769,0.009769
9,111.763,2.1496,2.80906,1.98436,0.09436,0.41667,0.0904,0.03753,1.85318,50.6182,1.82779,0.009736,0.009736,0.009736
10,124.61,2.12842,2.46628,1.74903,0.18903,0.29167,0.20706,0.09975,1.45867,19.7789,1.4887,0.009703,0.009703,0.009703
11,137.399,1.81317,2.30671,1.47594,0.23414,0.33333,0.21364,0.0953,1.51279,3.81666,1.50167,0.00967,0.00967,0.00967
12,149.467,1.94938,2.72937,1.89988,0.14336,0.20833,0.09076,0.0392,1.69675,14.507,1.58709,0.009637,0.009637,0.009637
13,161.551,1.77266,2.43446,1.60308,0.27994,0.17873,0.12863,0.05213,1.75493,3.51702,1.63303,0.009604,0.009604,0.009604
14,173.645,1.82792,2.40451,1.76006,0.07056,0.16667,0.03811,0.01431,1.58003,52.3287,1.65367,0.009571,0.009571,0.009571
15,185.88,1.76094,2.45329,1.7121,0.10219,0.16667,0.05334,0.02112,1.5205,15.2912,1.44072,0.009538,0.009538,0.009538
16,197.909,1.83861,2.32671,1.74949,0.20511,0.29167,0.18199,0.06036,1.54141,2.75921,1.41014,0.009505,0.009505,0.009505
17,210.382,1.60611,2.24834,1.44754,0.14691,0.16667,0.08797,0.0369,1.48406,10.0931,1.50019,0.009472,0.009472,0.009472
18,222.464,2.113,2.50989,1.93105,0.04136,0.875,0.1637,0.05711,1.58565,3.83739,1.50699,0.009439,0.009439,0.009439
19,234.571,1.84797,2.37769,1.68129,0.17605,0.20833,0.16212,0.05032,1.46074,29.4794,1.45285,0.009406,0.009406,0.009406
20,246.62,1.54999,2.67217,1.55984,0.15079,0.20833,0.1065,0.04145,1.43341,30.0322,1.46447,0.009373,0.009373,0.009373
21,258.845,1.48663,2.36297,1.29552,0.15506,0.16667,0.09804,0.03801,1.41322,4.55917,1.41047,0.00934,0.00934,0.00934
22,270.913,1.77465,2.38384,1.67625,0.03179,1,0.09986,0.05004,1.43424,2.58514,1.38879,0.009307,0.009307,0.009307
23,282.924,1.4955,2.23585,1.44378,0.04197,0.95833,0.11439,0.05196,1.51253,2.50714,1.44249,0.009274,0.009274,0.009274
24,295.005,1.71253,2.31374,1.55727,0.13305,0.25,0.12432,0.04837,1.42645,2.69631,1.38577,0.009241,0.009241,0.009241
25,307.383,1.67064,2.22837,1.55465,0.20819,0.08333,0.14055,0.05116,1.42867,3.43733,1.35932,0.009208,0.009208,0.009208
26,319.433,1.60574,2.18867,1.49712,0.18275,0.16667,0.115,0.04661,1.37635,5.67387,1.3587,0.009175,0.009175,0.009175
27,331.563,1.99525,2.53969,1.7674,0.17396,0.16667,0.11351,0.0515,1.42529,6.02237,1.37807,0.009142,0.009142,0.009142
28,343.684,2.10565,2.73554,1.74207,0.17056,0.16667,0.14624,0.05473,1.45637,3.10321,1.3767,0.009109,0.009109,0.009109
29,355.792,1.65955,2.12411,1.51937,0.22708,0.20833,0.1159,0.04704,1.41509,4.29085,1.32568,0.009076,0.009076,0.009076
30,368.07,1.75356,2.45347,1.57285,0.15675,0.125,0.14147,0.06261,1.38751,3.08181,1.33298,0.009043,0.009043,0.009043
31,380.15,1.52514,2.37914,1.30736,0.12765,0.58333,0.16191,0.07298,1.50366,2.64237,1.3965,0.00901,0.00901,0.00901
32,392.24,1.52583,2.08185,1.32937,0.13421,0.25,0.15591,0.06116,1.50546,3.26849,1.38564,0.008977,0.008977,0.008977
33,404.303,1.56607,2.15413,1.41253,0.34549,0.16667,0.15568,0.07543,1.36575,6.22207,1.34075,0.008944,0.008944,0.008944
34,416.31,1.44772,1.86818,1.43708,0.15524,0.20833,0.17768,0.08829,1.38897,2.837,1.32523,0.008911,0.008911,0.008911
35,428.512,1.70236,2.51968,1.64468,0.14133,0.20833,0.11567,0.0575,1.35829,4.54121,1.31238,0.008878,0.008878,0.008878
36,440.608,1.55237,2.50782,1.40549,0.14698,0.20833,0.18075,0.07305,1.40745,4.2277,1.37743,0.008845,0.008845,0.008845
37,452.774,1.81697,2.29918,1.62511,0.04584,1,0.18667,0.07733,1.4036,3.11779,1.40326,0.008812,0.008812,0.008812
38,465.42,1.69966,2.28731,1.52029,0.12077,0.20833,0.10709,0.04894,1.44218,3.18807,1.39546,0.008779,0.008779,0.008779
39,477.51,1.79288,2.33534,1.59537,0.10559,0.20833,0.10644,0.04766,1.49493,2.8148,1.39002,0.008746,0.008746,0.008746
40,489.635,1.33667,1.94039,1.21254,0.12737,0.20833,0.13761,0.05806,1.39099,2.60897,1.3408,0.008713,0.008713,0.008713
41,501.706,1.48859,2.08048,1.29765,0.09357,0.20833,0.12788,0.05341,1.36629,3.32605,1.31975,0.00868,0.00868,0.00868
42,513.822,1.60385,2.35956,1.47772,0.16726,0.20833,0.11234,0.04611,1.50069,4.30629,1.38222,0.008647,0.008647,0.008647
43,525.915,1.50163,2.71363,1.43933,0.10166,0.20833,0.08661,0.03356,1.61396,3.37625,1.44574,0.008614,0.008614,0.008614
44,538.077,1.73461,2.22075,1.52433,0.05761,0.20833,0.09035,0.03834,1.51242,2.55404,1.3878,0.008581,0.008581,0.008581
45,550.383,1.46552,2.01225,1.41718,0.11162,0.20833,0.11023,0.05246,1.34262,2.67668,1.31065,0.008548,0.008548,0.008548
46,562.653,1.54354,2.14498,1.41585,0.13506,0.20833,0.08152,0.03982,1.29941,7.15393,1.26501,0.008515,0.008515,0.008515
47,574.845,1.64422,2.23037,1.51488,0.20031,0.16667,0.12369,0.05982,1.3051,3.26165,1.27151,0.008482,0.008482,0.008482
48,587.12,1.51013,1.92702,1.43302,0.20191,0.20833,0.21293,0.10272,1.34269,2.59894,1.31956,0.008449,0.008449,0.008449
49,599.62,1.41129,2.10538,1.28844,0.26558,0.33333,0.21368,0.07904,1.37146,2.34171,1.33343,0.008416,0.008416,0.008416
